main_type;type;block_number;defects;valves
Клапан;None;3-4;36;791
Клапан;None;5;190;2166
Клапан;None;6-7;10;8615
Клапан;None;ОСО;0;1
Клапан;None;ОСО 2,3;0;94
Клапан;None;ОБС 3,4;0;383
Клапан;None;ОСО 4;0;2563
Клапан;Клапан запорный;5;344;1695
Клапан;Клапан запорный;3-4;52;200
Клапан;Клапан запорный;6-7;153;12889
Клапан;Клапан запорный;0;1;1
Клапан;Клапан запорный;ОСО 2,3;0;5
Клапан;Клапан запорный;ОБС 3,4;0;289
Клапан;Клапан запорный;ОСО 4;0;294
Клапан;Клапан обратный;3-4;12;48
Клапан;Клапан обратный;5;30;205
Клапан;Клапан обратный;6-7;12;1480
Клапан;Клапан обратный;ОСО 2,3;0;10
Клапан;Клапан обратный;ОБС 3,4;0;35
Клапан;Клапан обратный;ОСО 4;0;524
Клапан;Клапан регулирующий;5;24;25
Клапан;Клапан регулирующий;3-4;7;23
Клапан;Клапан регулирующий;6-7;13;932
Клапан;Клапан регулирующий;ОСО 4;0;200
Клапан;Клапан предохранительный;5;3;99
Клапан;Клапан предохранительный;6-7;2;283
Клапан;Клапан предохранительный;0;1;1
Клапан;Клапан предохранительный;ОСО 2,3;0;1
Клапан;Клапан предохранительный;3-4;0;23
Клапан;Клапан предохранительный;ОСО 4;0;27
Клапан;Клапан сильфонный;6-7;19;2366
Клапан;Клапан сильфонный;3-4;11;237
Клапан;Клапан сильфонный;ОБС 3,4;0;57
Клапан;Клапан сильфонный;5;0;21
Клапан;Клапан сильфонный;ОСО 4;0;248
None;None;5;1710;5719
None;None;3-4;762;544
None;None;1; 2; 3;1;1
None;None;6-7;166;2658
None;None;0;15;14
None;None;3; 4; 5;1;1
None;None;1; 2;3;2
None;None;1; 2; 4;2;1
None;None;Код Блока;0;1
None;None;ОСО;0;9
None;None;ОСО 2,3;0;39
None;None;ОБС 3,4;0;252
None;None;ОСО 4;0;1729
Вентиль;Вентиль запорный;5;290;200
Вентиль;Вентиль запорный;3-4;261;268
Вентиль;Вентиль запорный;ОСО 2,3;0;26
Вентиль;Вентиль запорный;ОСО 4;0;782
Вентиль;Вентиль запорный;6-7;0;1
Вентиль;Вентиль дренажный;3-4;29;24
Вентиль;Вентиль дренажный;5;3;3
Вентиль;None;3-4;60;765
Вентиль;None;5;93;1140
Вентиль;None;6-7;1;337
Вентиль;None;1; 2;1;1
Вентиль;None;ОСО 2,3;0;145
Вентиль;None;ОБС 3,4;0;170
Вентиль;None;ОСО 4;0;61
Вентиль;Вентиль сильфонный;3-4;8;6
Задвижка;Задвижка запорная;5;117;63
Задвижка;Задвижка запорная;3-4;191;138
Задвижка;Задвижка запорная;6-7;3;146
Задвижка;Задвижка запорная;ОБС 3,4;0;2
Задвижка;Задвижка запорная;ОСО 4;0;22
Задвижка;Задвижка дренажная;3-4;15;11
Задвижка;None;3-4;60;1216
Задвижка;None;5;165;603
Задвижка;None;6-7;1;635
Задвижка;None;1; 2; 3; 4;2;2
Задвижка;None;ОСО 2,3;0;290
Задвижка;None;ОБС 3,4;0;162
Задвижка;None;ОСО 4;0;414
Задвижка;Задвижка клиновая;3-4;23;35
Задвижка;Задвижка клиновая;6-7;18;890
Задвижка;Задвижка клиновая;ОСО 2,3;0;6
Задвижка;Задвижка клиновая;ОБС 3,4;0;8
Задвижка;Задвижка клиновая;5;0;18
Задвижка;Задвижка клиновая;ОСО 4;0;164
Задвижка;Задвижка фланцевая;5;20;129
Задвижка;Задвижка фланцевая;ОСО 4;0;1
Арматура;Регулятор давления;3-4;2;8
Арматура;Регулятор давления;0;1;1
Арматура;Регулятор давления;ОСО 2,3;0;2
Арматура;Регулятор давления;ОБС 3,4;0;3
Арматура;Регулятор давления;ОСО 4;0;2
Арматура;Регулятор давления;6-7;0;7
Арматура;Арматура запорная;3-4;82;102
Арматура;Арматура запорная;5;35;20
Арматура;Арматура запорная;ОСО 4;0;1
Арматура;Арматура запорная;6-7;0;109
Арматура;Затвор дисковый;3-4;18;25
Арматура;Затвор дисковый;6-7;4;600
Арматура;Затвор дисковый;ОБС 3,4;0;10
Арматура;Затвор дисковый;ОСО 4;0;367
Арматура;None;3-4;31;2693
Арматура;None;5;5;510
Арматура;None;ОСО 4;0;74
Арматура;None;6-7;0;286
Арматура;Регулятор уровня;3-4;5;38
Арматура;Регулятор уровня;5;6;10
Арматура;Регулятор уровня;ОБС 3,4;0;2
Арматура;Шаровой кран;6-7;12;1817
Арматура;Шаровой кран;3; 4; 5;1;1
Арматура;Шаровой кран;3-4;1;10
Арматура;Шаровой кран;ОСО 2,3;0;19
Арматура;Шаровой кран;ОБС 3,4;0;75
Арматура;Шаровой кран;5;0;8
Арматура;Шаровой кран;ОСО 4;0;1814
